contestid,title,sponsor,details,start_time,end_time,amount,repo,findingsRepo,hide,league,repo_exists,repo_type,finding_repo_exists
163,Art Gobblers contest,Art Gobblers,Experimental Decentralized Art Factory By Justin Roiland and Paradigm.,Tue Sep 20 2022 16:00:00 GMT+0000 (Coordinated Universal Time),Tue Sep 27 2022 16:00:00 GMT+0000 (Coordinated Universal Time),"$100,000 USDC",https://github.com/code-423n4/2022-09-artgobblers,https://github.com/code-423n4/2022-09-artgobblers-findings,False,eth,True,Foundry,True
165,Frax Ether Liquid Staking contest,Frax Finance,A liquid ETH staking derivative designed to uniquely leverage the Frax Finance ecosystem.,Thu Sep 22 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Sun Sep 25 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$30,000 USDC",https://github.com/code-423n4/2022-09-frax,https://github.com/code-423n4/2022-09-frax-findings,False,eth,True,Foundry,True
171,Trader Joe v2 contest,Trader Joe,One-stop-shop decentralized trading on Avalanche.,Fri Oct 14 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Sun Oct 23 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$100,000 USDC",https://github.com/code-423n4/2022-10-traderjoe,https://github.com/code-423n4/2022-10-traderjoe-findings,False,eth,True,Foundry,True
178,LooksRare Aggregator contest,LooksRare,An NFT aggregator protocol.,Tue Nov 08 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Sun Nov 13 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2022-11-looksrare,https://github.com/code-423n4/2022-11-looksrare-findings,False,eth,True,Foundry,True
180,SIZE contest,SIZE,An on-chain sealed bid auction protocol.,Fri Nov 04 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Tue Nov 08 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$42,500 USDC",https://github.com/code-423n4/2022-11-size,https://github.com/code-423n4/2022-11-size-findings,False,eth,True,Foundry,True
183,Redacted Cartel contest,Redacted Cartel,"Boosted GMX assets from your favorite liquid token wrapper, Pirex - brought to you by Redacted Cartel.",Mon Nov 21 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Nov 28 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$90,500 USDC",https://github.com/code-423n4/2022-11-redactedcartel,https://github.com/code-423n4/2022-11-redactedcartel-findings,False,eth,True,Foundry,True
189,Escher contest,Escher,A decentralized curated marketplace for editioned artwork.,Tue Dec 06 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Dec 09 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2022-12-escher,https://github.com/code-423n4/2022-12-escher-findings,False,eth,True,Foundry,True
191,Forgeries contest,Forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,Tue Dec 13 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Dec 16 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2022-12-forgeries,https://github.com/code-423n4/2022-12-forgeries-findings,False,eth,True,Foundry,True
193,Caviar contest,Caviar,A fully on-chain NFT AMM that allows you to trade every NFT in a collection.,Mon Dec 12 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Dec 19 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2022-12-caviar,https://github.com/code-423n4/2022-12-caviar-findings,False,eth,True,Foundry,True
194,GoGoPool contest,GoGoPool,Liquid staking for Avalanche.,Thu Dec 15 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 03 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$128,000 USDC",https://github.com/code-423n4/2022-12-gogopool,https://github.com/code-423n4/2022-12-gogopool-findings,False,eth,True,Foundry,True
